03-04-2023_11-03-21
Title: seah sok eng hearing aid 
Right Hearing Aid Serial Number: NEE5027
Left Hearing Aid Serial Number: None
Data rate: 50
Available sensors: Accelerometer
Accelerometer G: 1
Notes: 

11:03:21.726 - Walking
11:03:21.810 - motion sensor: [x: 0.8837890625, y: 0.0068359375, z: 0.705078125] [x: 0.80859375, y: -0.05078125, z: 0.701171875] [x: 0.720703125, y: -0.087890625, z: 0.6865234375] [x: 0.671875, y: -0.091796875, z: 0.6494140625]
11:03:21.891 - motion sensor: [x: 0.6572265625, y: -0.0595703125, z: 0.609375] [x: 0.716796875, y: 0.005859375, z: 0.6025390625] [x: 0.828125, y: 0.052734375, z: 0.59765625] [x: 0.794921875, y: 0.0517578125, z: 0.5537109375]
11:03:21.971 - motion sensor: [x: 0.7177734375, y: 0.044921875, z: 0.53125] [x: 0.67578125, y: 0.041015625, z: 0.5341796875] [x: 0.63671875, y: 0.0546875, z: 0.54296875] [x: 0.640625, y: 0.0751953125, z: 0.537109375]
11:03:22.071 - motion sensor: [x: 0.666015625, y: 0.083984375, z: 0.51953125] [x: 0.685546875, y: 0.0732421875, z: 0.498046875] [x: 0.7001953125, y: 0.04296875, z: 0.494140625] [x: 0.68359375, y: 0.021484375, z: 0.509765625]
11:03:22.131 - motion sensor: [x: 0.6748046875, y: 0.015625, z: 0.521484375] [x: 0.689453125, y: -0.00390625, z: 0.546875] [x: 0.7177734375, y: -0.03515625, z: 0.568359375] [x: 0.7587890625, y: -0.0703125, z: 0.6025390625]
11:03:22.207 - motion sensor: [x: 0.765625, y: -0.1103515625, z: 0.611328125] [x: 0.771484375, y: -0.1318359375, z: 0.6171875] [x: 0.7978515625, y: -0.1240234375, z: 0.6611328125] [x: 0.9013671875, y: -0.087890625, z: 0.7197265625]
11:03:22.289 - motion sensor: [x: 0.9443359375, y: -0.0673828125, z: 0.779296875] [x: 1.0361328125, y: -0.021484375, z: 0.8408203125] [x: 1.046875, y: -0.0068359375, z: 0.876953125] [x: 0.724609375, y: -0.0146484375, z: 0.8056640625]
11:03:22.371 - motion sensor: [x: 0.5771484375, y: 0.025390625, z: 0.7998046875] [x: 0.6083984375, y: 0.06640625, z: 0.8125] [x: 0.607421875, y: 0.0703125, z: 0.7509765625] [x: 0.6259765625, y: 0.0576171875, z: 0.6591796875]
11:03:22.459 - motion sensor: [x: 0.6845703125, y: 0.0283203125, z: 0.6123046875] [x: 0.693359375, y: 0.009765625, z: 0.5947265625] [x: 0.6640625, y: 0.0126953125, z: 0.5966796875] [x: 0.6318359375, y: 0.0419921875, z: 0.5888671875]
11:03:22.539 - motion sensor: [x: 0.6240234375, y: 0.0703125, z: 0.5927734375] [x: 0.65234375, y: 0.076171875, z: 0.5947265625] [x: 0.658203125, y: 0.0595703125, z: 0.583984375] [x: 0.626953125, y: 0.0419921875, z: 0.576171875]
11:03:22.618 - motion sensor: [x: 0.6064453125, y: 0.03515625, z: 0.5732421875] [x: 0.62890625, y: 0.0400390625, z: 0.578125] [x: 0.6533203125, y: 0.056640625, z: 0.578125] [x: 0.6640625, y: 0.076171875, z: 0.59375]
11:03:22.713 - motion sensor: [x: 0.6708984375, y: 0.091796875, z: 0.630859375] [x: 0.6572265625, y: 0.0927734375, z: 0.6552734375] [x: 0.6513671875, y: 0.09375, z: 0.6708984375] [x: 0.6923828125, y: 0.095703125, z: 0.7109375]
11:03:22.778 - motion sensor: [x: 0.7001953125, y: 0.0888671875, z: 0.7265625] [x: 0.65625, y: 0.0810546875, z: 0.7080078125] [x: 0.71875, y: 0.0712890625, z: 0.7314453125] [x: 0.818359375, y: 0.0869140625, z: 0.7880859375]
11:03:22.856 - motion sensor: [x: 0.845703125, y: 0.1025390625, z: 0.7802734375] [x: 0.9716796875, y: 0.0859375, z: 0.734375] [x: 0.92578125, y: -0.0029296875, z: 0.6630859375] [x: 0.90234375, y: -0.064453125, z: 0.662109375]
11:03:22.938 - motion sensor: [x: 0.880859375, y: -0.1064453125, z: 0.681640625] [x: 0.7900390625, y: -0.119140625, z: 0.6435546875] [x: 0.7392578125, y: -0.0849609375, z: 0.591796875] [x: 0.763671875, y: -0.0283203125, z: 0.5927734375]
11:03:23.017 - motion sensor: [x: 0.7880859375, y: 0.0205078125, z: 0.5966796875] [x: 0.734375, y: 0.0341796875, z: 0.5673828125] [x: 0.6669921875, y: 0.041015625, z: 0.55078125] [x: 0.609375, y: 0.046875, z: 0.5458984375]
11:03:23.099 - motion sensor: [x: 0.5966796875, y: 0.0654296875, z: 0.544921875] [x: 0.6357421875, y: 0.0771484375, z: 0.53515625] [x: 0.6689453125, y: 0.0673828125, z: 0.5205078125] [x: 0.6943359375, y: 0.0517578125, z: 0.4931640625]
11:03:23.196 - motion sensor: [x: 0.72265625, y: 0.0283203125, z: 0.4794921875] [x: 0.716796875, y: 0, z: 0.4765625] [x: 0.7294921875, y: -0.0224609375, z: 0.5009765625] [x: 0.7373046875, y: -0.0439453125, z: 0.546875]
11:03:23.299 - motion sensor: [x: 0.7255859375, y: -0.060546875, z: 0.578125] [x: 0.744140625, y: -0.0751953125, z: 0.5908203125] [x: 0.7841796875, y: -0.0869140625, z: 0.6005859375] [x: 0.806640625, y: -0.099609375, z: 0.6083984375]
11:03:23.337 - motion sensor: [x: 0.8125, y: -0.0986328125, z: 0.6220703125] [x: 0.837890625, y: -0.0888671875, z: 0.6474609375] [x: 0.8916015625, y: -0.0712890625, z: 0.681640625] [x: 0.91796875, y: -0.03125, z: 0.7275390625]
11:03:23.417 - motion sensor: [x: 1.087890625, y: 0.0166015625, z: 0.8115234375] [x: 0.8759765625, y: -0.00390625, z: 0.736328125] [x: 0.654296875, y: 0.037109375, z: 0.677734375] [x: 0.69921875, y: 0.08203125, z: 0.6884765625]
11:03:23.518 - motion sensor: [x: 0.716796875, y: 0.1044921875, z: 0.6728515625] [x: 0.7021484375, y: 0.1083984375, z: 0.6318359375] [x: 0.7490234375, y: 0.1015625, z: 0.609375] [x: 0.7529296875, y: 0.087890625, z: 0.6171875]
11:03:23.580 - motion sensor: [x: 0.736328125, y: 0.0703125, z: 0.6396484375] [x: 0.681640625, y: 0.0478515625, z: 0.634765625] [x: 0.640625, y: 0.025390625, z: 0.626953125] [x: 0.626953125, y: 0.0068359375, z: 0.6064453125]
11:03:23.660 - motion sensor: [x: 0.6220703125, y: -0.005859375, z: 0.5810546875] [x: 0.611328125, y: -0.0146484375, z: 0.5634765625] [x: 0.6259765625, y: -0.0146484375, z: 0.56640625] [x: 0.630859375, y: -0.0048828125, z: 0.5771484375]
11:03:23.733 - motion sensor: [x: 0.6396484375, y: 0.0166015625, z: 0.59375] [x: 0.66796875, y: 0.0439453125, z: 0.6220703125] [x: 0.6826171875, y: 0.0625, z: 0.6484375] [x: 0.669921875, y: 0.076171875, z: 0.671875]
11:03:23.818 - motion sensor: [x: 0.6513671875, y: 0.076171875, z: 0.7060546875] [x: 0.677734375, y: 0.07421875, z: 0.75] [x: 0.650390625, y: 0.05859375, z: 0.75] [x: 0.587890625, y: 0.03515625, z: 0.732421875]
11:03:23.896 - motion sensor: [x: 0.6220703125, y: 0.0283203125, z: 0.7548828125] [x: 0.6865234375, y: 0.025390625, z: 0.7802734375] [x: 0.6962890625, y: 0.0322265625, z: 0.7734375] [x: 0.822265625, y: 0.0712890625, z: 0.7568359375]
11:03:23.981 - motion sensor: [x: 0.9521484375, y: 0.076171875, z: 0.728515625] [x: 0.91015625, y: 0.0283203125, z: 0.6513671875] [x: 0.9013671875, y: -0.017578125, z: 0.6318359375] [x: 0.8798828125, y: -0.046875, z: 0.6416015625]
11:03:24.056 - motion sensor: [x: 0.7998046875, y: -0.0458984375, z: 0.6298828125] [x: 0.765625, y: -0.015625, z: 0.6318359375] [x: 0.7724609375, y: 0.0244140625, z: 0.6220703125] [x: 0.734375, y: 0.0517578125, z: 0.599609375]
11:03:24.158 - motion sensor: [x: 0.6953125, y: 0.068359375, z: 0.5849609375] [x: 0.6494140625, y: 0.0771484375, z: 0.5810546875] [x: 0.6181640625, y: 0.0830078125, z: 0.568359375] [x: 0.6220703125, y: 0.083984375, z: 0.560546875]
11:03:24.218 - motion sensor: [x: 0.6533203125, y: 0.080078125, z: 0.5556640625] [x: 0.671875, y: 0.06640625, z: 0.5439453125] [x: 0.6826171875, y: 0.03125, z: 0.53125] [x: 0.673828125, y: -0.0107421875, z: 0.51953125]
11:03:24.315 - motion sensor: [x: 0.6494140625, y: -0.046875, z: 0.5341796875] [x: 0.66796875, y: -0.068359375, z: 0.5791015625] [x: 0.71875, y: -0.0859375, z: 0.6337890625] [x: 0.7265625, y: -0.0986328125, z: 0.6455078125]
11:03:24.374 - motion sensor: [x: 0.732421875, y: -0.099609375, z: 0.63671875] [x: 0.7265625, y: -0.095703125, z: 0.6376953125] [x: 0.796875, y: -0.0654296875, z: 0.671875] [x: 0.9189453125, y: -0.0146484375, z: 0.744140625]
11:03:24.459 - motion sensor: [x: 1.0908203125, y: 0.0380859375, z: 0.8203125] [x: 1.0791015625, y: 0.03125, z: 0.849609375] [x: 0.802734375, y: 0.0126953125, z: 0.796875] [x: 0.6376953125, y: 0.0341796875, z: 0.7646484375]
11:03:24.534 - motion sensor: [x: 0.63671875, y: 0.0634765625, z: 0.73828125] [x: 0.650390625, y: 0.0791015625, z: 0.6875] [x: 0.662109375, y: 0.0927734375, z: 0.6240234375] [x: 0.689453125, y: 0.0947265625, z: 0.580078125]
